timestep,susceptible,infected,recovered,step_time_sec
486,35149982,34957,815061,0.118247
487,35146445,35048,818507,0.113998
488,35142941,34969,822090,0.128390
489,35139373,35037,825590,0.118182
490,35135809,35092,829099,0.132259
491,35132220,35165,832615,0.124208
492,35128628,35268,836104,0.115152
493,35125049,35373,839578,0.116374
494,35121433,35383,843184,0.118859
495,35117719,35534,846747,0.118217
496,35113997,35766,850237,0.135209
497,35110365,35795,853840,0.142873
498,35106718,35909,857373,0.121075
499,35102992,36042,860966,0.116564
500,35099325,36119,864556,0.117111
